userId,latitude,longitude
94,-13.0023301,-38.453435899999995
134,-12.976928,-38.425337
184,38.704524299999996,-9.1985834
204,-12.9935889,-38.4769529
214,-12.9383267,-38.37918535471116
224,-12.986111292892858,-38.46764996040292
234,-12.9395673,-38.3798912
244,-12.929858999999999,-38.4323967
254,-12.9938171,-38.5224724
264,-15.4719157,-44.3803842
274,-13.0103544,-38.53287
284,13.8000382,-88.9140683
294,-12.986161,-38.5143376
304,13.8000382,-88.9140683
314,13.8000382,-88.9140683
324,13.8000382,-88.9140683
334,-12.9711766,-38.4301029
344,-12.7141484,-38.3197117
354,-13.011357,-38.482258
364,-12.956467199999999,-38.4630784
374,-12.9704534,-38.487042599999995
384,-12.888347,-38.346198099999995
394,-13.0037406,-38.5112804
404,-12.8846933,-38.3133199
414,-12.996403800000001,-38.4522669
424,-12.902811699999999,-38.439962
434,-12.956467199999999,-38.4630784
444,-12.948874,-38.409031999999996
454,-12.9150407,-38.4326224
464,-12.9902675,-38.4848312
474,-13.01364265,-38.488588335624065
484,-7.2186358,-37.2505818
494,-12.972747900000002,-38.4825616
504,-12.8970983,-38.3031517
514,-12.966297599999999,-38.4335872
524,-12.9335002,-38.411350899999995
544,-12.6976,-38.341836799999996
554,-12.987676899999999,-38.5375255
564,-12.976128000000001,-38.4958464
574,-12.980991999999999,-38.4785846
584,-12.9950048,-38.495494099999995
594,-12.978534849999999,-38.45466029076958
604,-12.965133999999999,-38.4993244
614,-13.0004235,-38.49835789999999
624,-12.9641,-38.5058
644,-13.003676,-38.5100127
654,-12.889587299999999,-38.3481734
664,-12.8863,-38323
674,-12.959743999999999,-38.4761856
684,-12.8645765,-38.3051433
694,-12.8137116,-42.7259474
704,-13.007558745362836,-38.52735970582491
714,-12.996609511967305,-38.46421003163179
724,-12.906336699999999,-38.3481734
734,-12.974217450000001,-38.513143886121824
754,-12.9612942,-38.4850567
764,13.8000382,-88.9140683
784,-13.0069475,-38.4633527
794,-12.9755714,-38.480778799999996
804,10.6992043,122.5521401
814,-13.0011694,-38.5073858
824,-13.0011694,-38.5073858
864,-12.9432322,-38.3864017
854,-23.554345,-46.680037
844,-12.9964894,-38.5038032
834,-12.9379443,-38.495494099999995
